title,genres,tags,1_star_votes,2_star_votes,3_star_votes,4_star_votes,5_star_votes,overall_rates
Still Not Wanting to Forget,"['Slice of Life', 'Josei', 'Romance']","['Charming Protagonist', 'Comedic Undertone', 'Doting Love Interests', 'Female Protagonist', 'First Love', 'Handsome Male Lead', 'Kind Love Interests', 'Lovers Reunited', 'Modern Day', 'Online Romance', 'Pets', 'Second Chance', 'Showbiz']",0,6,37,52,90,4.2
Yang Shu Mei Ying,"['Martial Arts', 'Drama', 'Yaoi', 'Wuxia', 'Smut', 'Romance']","['Adapted to Drama CD', 'Cold Protagonist', 'Cultivation', 'Doting Love Interests', 'Enemies Become Lovers', 'Love Interest Falls in Love First', 'Mpreg', 'R*pe', 'Strong Love Interests']",6,4,10,6,45,4.1
Don’t Give Her the Shot,"['Mature', 'Slice of Life', 'Adult', 'Smut', 'Romance']","['Beautiful Female Lead', 'C*nnilingus', 'Female Protagonist', 'First Love', 'F*llatio', 'Handsome Male Lead', 'H*ndjob', 'Lovers Reunited', 'Modern Day']",3,0,0,0,4,3.3
The Princess Wei Yang,"['Drama', 'Fantasy', 'Historical', 'Josei', 'Romance']","['Adapted to Drama', 'Adapted to Manhua', 'Ancient China', 'Betrayal', 'Black Belly', 'Cold Protagonist', 'Cruel Characters', 'Female Protagonist', 'Love Interest Falls in Love First', 'Reincarnation', 'Revenge', 'Royalty', 'Ruthless Protagonist', 'Schemes And Conspiracies', 'Second Chance', 'Younger Love Interests']",46,17,46,74,504,4.4
A Tale of Two Phoenixes,"['Adventure', 'Drama', 'Fantasy', 'Historical', 'Josei', 'Mystery', 'Romance']","['Adapted to Drama', 'Adapted to Manhua', 'Alternate World', 'Ancient China', 'Aristocracy', 'Beautiful Female Lead', 'Calm Protagonist', 'Cautious Protagonist', 'Character Growth', 'Clever Protagonist', 'Determined Protagonist', 'Female Protagonist', 'Handsome Male Lead', 'Manipulative Characters', 'Politics', 'Pragmatic Protagonist', 'Proactive Protagonist', 'Protagonist Falls in Love First', 'Royalty', 'Schemes And Conspiracies', 'Slow Romance', 'Transmigration']",40,10,8,24,90,3.7
Explosive Pet Cute Fox,"['Slice of Life', 'Comedy', 'Smut', 'Fantasy', 'Romance']","['Awkward Protagonist', 'Beasts', 'Carefree Protagonist', 'Cold Love Interests', 'Early Romance', 'Enemies Become Lovers', 'Fantasy Creatures', 'Fantasy World', 'Female Protagonist', 'Fox Spirits', 'Magic Beasts', 'Possession', 'Transmigration']",4,4,1,1,4,2.8
"After The Actor Made a Match For Me, He Died Out of Jealousy","['Shounen Ai', 'Romance']","['Acting', 'Blind Dates', 'Calm Protagonist', 'Easy Going Life', 'Family Business', 'Handsome Male Lead', 'Late Romance', 'Slow Romance', 'Smart Couple']",1,2,4,7,10,4.0
Welcome to the Dream World,"['Sci-fi', 'Supernatural', 'Adventure', 'Comedy', 'Shounen Ai', 'Romance']","['Aliens', 'Calm Protagonist', 'Childhood Friends', 'Clever Protagonist', 'Cold Love Interests', 'Comedic Undertone', 'Criminals', 'Death of Loved Ones', 'Doctors', 'Doting Love Interests', 'Game Elements', 'Handsome Male Lead', 'Human Experimentation', 'Love Interest Falls in Love First', 'Manly Gay Couple', 'Murders', 'Narcissistic Protagonist', 'Police', 'Power Couple', 'Psychic Powers', 'Psychopaths', 'Revenge', 'Scientists', 'Smart Couple', 'Survival Game', 'System Administrator', 'Teamwork']",1,2,0,1,11,4.3
An Athlete Held up by an Entertainment Career,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sports', 'Yaoi']","['Level System', 'Previous Life Talent', 'Reincarnation', 'Showbiz', 'Transmigration']",5,1,4,7,74,4.6
Time-travelled to Japan’s Sengoku Era,"['Adventure', 'Fantasy', 'Historical', 'Romance']","['Ancient Times', 'Female Protagonist', 'Reincarnation']",11,3,4,1,6,2.5
After Sol,"['Action', 'Sci-fi']","['Dystopia', 'Early Romance', 'Futuristic Setting', 'Netorare', 'Outer Space']",5,2,0,0,1,1.8
Marry a Rich Old Man,"['School Life', 'Yaoi', 'Comedy', 'Slice of Life', 'Romance', 'Adult']","['Businessmen', 'Charming Protagonist', 'Childcare', 'Cohabitation', 'Cold Love Interests', 'College/University', 'Doting Love Interests', 'Family', 'First Love', 'First-time Interc**rse', 'Handsome Male Lead', 'Heartwarming', 'Loneliness', 'Loner Protagonist', 'Love at First Sight', 'Love Interest Falls in Love First', 'Marriage of Convenience', 'Modern Day', 'Mpreg', 'Older Love Interests', 'Possessive Characters', 'Wealthy Characters']",3,3,10,11,32,4.1
The Favored Son of Heaven,"['Mystery', 'Xuanhuan', 'Sci-fi', 'Action', 'Martial Arts']","['Arrogant Characters', 'Beautiful Female Lead', 'Brotherhood', 'Calm Protagonist', 'Cheats', 'Cultivation', 'Determined Protagonist', 'Friendship', 'Genetic Modifications', 'Genius Protagonist', 'Male Protagonist', 'Military', 'Modern Day', 'Money Grubber', 'Poor Protagonist', 'Reverse R*pe', 'Romantic Subplot', 'Strength-based Social Hierarchy', 'Student-Teacher Relationship', 'Weak to Strong', 'Wealthy Characters', 'World Travel']",12,2,9,3,11,3.0
Waiting For The Wind Warming Up To Kiss You,"['Action', 'Drama', 'Psychological', 'Romance']","['Beautiful Female Lead', 'Celebrities', 'Criminals', 'Devoted Love Interests', 'Female Protagonist', 'Handsome Male Lead', 'Lovers Reunited', 'Modern Day', 'Murders', 'Possessive Characters', 'Slow Romance']",2,0,0,0,1,2.3
The Mightiest System,"['Harem', 'Xianxia', 'Adventure', 'Action', 'Martial Arts']","['Arrogant Characters', 'Beautiful Female Lead', 'Cultivation', 'Cunning Protagonist', 'Demons', 'Game Elements', 'Genius Protagonist', 'Gods', 'Level System', 'Male Protagonist', 'Reincarnated in Another World', 'Spirits']",7,0,5,2,24,3.9
Floating Immortal Order,"['Mature', 'Supernatural', 'Xianxia', 'Adventure', 'Action', 'Martial Arts']","['Amnesia', 'Artifacts', 'Body Tempering', 'Character Growth', 'Cultivation', 'Evil Protagonist', 'Immortals', 'Male Protagonist', 'Manipulative Characters', 'Multiple POV', 'Multiple Realms', 'Personality Changes', 'Poetry', 'Previous Life Talent', 'Reincarnation', 'Schemes And Conspiracies', 'Slow Growth at Start', 'Soul Power', 'Souls', 'Time Skip', 'Unique Cultivation Technique', 'Weak to Strong', 'World Travel']",4,4,4,5,17,3.8
Prime Assassin: the Evil King’s Wife,"['Martial Arts', 'Action', 'Historical', 'Romance']","['Assassins', 'Female Protagonist', 'Transmigration']",1,0,3,0,3,3.6
Lord of the Magical Beasts,"['Adventure', 'Fantasy', 'Harem']","['Army Building', 'Beast Companions', 'Beastkin', 'Beasts', 'Contracts', 'Dwarfs', 'Elves', 'Evolution', 'Kingdom Building', 'Kingdoms', 'Magic', 'Male Protagonist', 'Monster Tamer', 'Monsters', 'Religions', 'S*aves', 'Strength-based Social Hierarchy', 'Summoning Magic', 'Transported to Another World', 'Wars']",17,5,2,3,9,2.5
"Eldest Sister, Why Haven’t You Married Yet","['Slice of Life', 'Historical', 'Fantasy', 'Romance']","['Abusive Characters', 'Ancient China', 'Business Management', 'Character Growth', 'Clever Protagonist', 'Determined Protagonist', 'Familial Love', 'Female Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Heartwarming', 'Late Romance', 'Love Interest Falls in Love First', 'Merchants', 'Older Love Interests', 'Poor Protagonist', 'Poor to Rich', 'Slow Romance', 'Smart Couple', 'Transmigration', 'Younger Sisters']",6,0,5,13,48,4.3
Resisting Winter,"['School Life', 'Slice of Life', 'Drama', 'Romance']","['Calm Protagonist', 'Female Protagonist', 'Glasses-wearing Protagonist', 'Handsome Male Lead', 'Modern Day', 'Past Trauma', 'Slow Romance', 'Tragic Past']",2,0,1,1,3,3.4
Holding Onto My Man,"['Action', 'Adventure', 'Drama', 'Romance', 'Xianxia', 'Yaoi']","['Amnesia', 'Ancient China', 'Apocalypse', 'Comedic Undertone', 'Cultivation', 'Cunning Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Episodic', 'Fated Lovers', 'Forced into a Relationship', 'Forced Living Arrangements', 'Gamers', 'Handsome Male Lead', 'Human-Nonhuman Relationship', 'Humanoid Protagonist', 'Immortals', 'Interdimensional Travel', 'Love at First Sight', 'Love Interest Falls in Love First', 'Lovers Reunited', 'Male Yandere', 'Manipulative Characters', 'Master-Disciple Relationship', 'Mob Protagonist', 'Modern Day', 'Multiple Realms', 'Multiple Reincarnated Individuals', 'Older Love Interests', 'Past Plays a Big Role', 'Possessive Characters', 'R*pe Victim Becomes Lover', 'Revenge', 'R*pe', 'Ruthless Protagonist', 'Shameless Protagonist', 'Siblings Not Related by Blood', 'Strong Love Interests', 'Transmigration', 'Unconditional Love', 'Wealthy Characters', 'World Hopping', 'Zombies']",29,23,65,125,496,4.4
The Skyrider,"['Xuanhuan', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy']","['Game Elements', 'Gate to Another World', 'Genius Protagonist', 'Hard-Working Protagonist', 'Male Protagonist', 'Romantic Subplot', 'Skill Creation', 'Transmigration', 'Transported to Another World', 'Weak to Strong']",22,9,4,4,19,2.8
Creator’s Internship Guide,"['Harem', 'Supernatural', 'Comedy', 'Shounen Ai', 'Fantasy', 'Romance']","['Alternate World', 'Angels', 'Appearance Different from Actual Age', 'Beastkin', 'Calm Protagonist', 'Cold Love Interests', 'Dragons', 'Fantasy Creatures', 'Fantasy World', 'First Love', 'Gamers', 'God Protagonist', 'Godly Powers', 'Gods', 'Human-Nonhuman Relationship', 'Love Interest Falls in Love First', 'Multiple Personalities', 'Older Love Interests', 'Possessive Characters', 'Quiet Characters', 'Sharing A Body', 'Short Story', 'Stoic Characters', 'Strong Love Interests', 'Transported into a Game World']",3,3,11,29,56,4.3
Final Boss,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem']","['Antihero Protagonist', 'Corruption', 'Demon Lord', 'Demons', 'Dense Protagonist', 'Dragons', 'Enemies Become Lovers', 'Evil Gods', 'Fantasy World', 'God Protagonist', 'Godly Powers', 'Gods', 'Hiding True Abilities', 'Hiding True Identity', 'Loli', 'Male Protagonist', 'Mind Break', 'Monsters', 'Multiple Realms', 'Non-humanoid Protagonist', 'Overpowered Protagonist', 'Protagonist Strong from the Start', 'Ruthless Protagonist', 'S*ave Harem', 'S*aves', 'Transmigration', 'Valkyries', 'Vampires', 'Wars', 'Zombies']",14,19,5,7,33,3.3
Return Together,"['Mystery', 'Adventure', 'Action', 'Shounen Ai', 'Wuxia']",['Amnesia'],1,0,1,3,3,3.9
Midnight Cinderella,"['Comedy', 'Drama', 'Romance', 'Supernatural']","['Acting', 'Animal Characteristics', 'Beautiful Female Lead', 'Body Swap', 'Celebrities', 'Female Protagonist', 'Handsome Male Lead', 'Modern Day', 'Pets', 'Showbiz']",6,2,11,15,93,4.5
Accompanied by a Fool To Do Farming,"['Slice of Life', 'Yaoi', 'Romance']","['Absent Parents', 'Ancient China', 'Arranged Marriage', 'Business Management', 'Calm Protagonist', 'Cooking', 'Cute Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Familial Love', 'First Love', 'First-time Interc**rse', 'Forced Marriage', 'Hard-Working Protagonist', 'Heartwarming', 'H*ndjob', 'Kind Love Interests', 'Love Interest Falls in Love First', 'Mature Protagonist', 'Mpreg', 'Poor to Rich', 'Sharp-tongued Characters', 'Transmigration']",5,16,32,52,116,4.2
The Fake-Faced Prince and the Heartbreaker Princess,"['School Life', 'Josei', 'Romance']","['Arrogant Characters', 'Bullying', 'Dense Protagonist', 'Female Protagonist', 'Forced Living Arrangements', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Manipulative Characters', 'Master-Servant Relationship', 'Modern Day', 'Sharp-tongued Characters', 'Tsundere', 'Wealthy Characters']",4,3,3,1,8,3.3
The Master Became a Wealthy Madam,"['Comedy', 'Drama', 'Fantasy', 'Romance']","['Arrogant Characters', 'Beautiful Female Lead', 'Charismatic Protagonist', 'Complex Family Relationships', 'Confident Protagonist', 'Family', 'Fanaticism', 'Female Protagonist', 'Love Interest Falls in Love First', 'Nationalism', 'Racism', 'Reverse Harem', 'Transmigration', 'Wealthy Characters']",11,2,8,11,37,3.9
I Don’t Want To Wash The Dishes Today,"['Shounen Ai', 'Tragedy', 'Drama', 'Romance']","['Childish Protagonist', 'Dark', 'Death of Loved Ones', 'Doting Love Interests', 'Hot-blooded Protagonist', 'Modern Day', 'Oneshot', 'Terminal Illness']",1,2,2,4,29,4.5
When the Green Tea Female Side Character Wants to Humiliate the Male Lead,"['Adult', 'Comedy', 'Drama', 'Romance']","['Beautiful Female Lead', 'Late Romance', 'System Administrator', 'Transmigration']",6,1,0,3,6,3.1
Supreme Soaring Immortal,"['Action', 'Adventure', 'Fantasy', 'Xianxia']","['Artifacts', 'Assassins', 'Beast Companions', 'Beasts', 'Beautiful Female Lead', 'Betrayal', 'Blood Manipulation', 'Body-double', 'Body Tempering', 'Clever Protagonist', 'Cultivation', 'Dao Comprehension', 'Death', 'Demons', 'Empires', 'Fantasy World', 'Fast Cultivation', 'Fast Learner', 'Fat to Fit', 'Female Protagonist', 'Friendship', 'Hard-Working Protagonist', 'Heavenly Tribulation', 'Human Weapon', 'Immortals', 'Jack of All Trades', 'Kingdoms', 'Leadership', 'Loyal Subordinates', 'Magical Space', 'Phoenixes', 'Power Struggle', 'Protagonist with Multiple Bodies', 'Reincarnation', 'Royalty', 'Saving the World', 'Sealed Power', 'Slow Romance', 'Strength-based Social Hierarchy', 'Sword And Magic', 'Sword Wielder', 'Transmigration', 'Underestimated Protagonist', 'Unique Cultivation Technique', 'Wars', 'Weak to Strong']",4,2,5,3,10,3.5
The Interstellar Male God,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-fi', 'Yaoi']","['Acting', 'Arranged Marriage', 'Celebrities', 'Cooking', 'Cultivation', 'Cute Protagonist', 'Cute Story', 'Dense Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Doting Older Siblings', 'Family', 'Forced Living Arrangements', 'Futuristic Setting', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Military', 'Strong Love Interests', 'Transmigration', 'Unique Cultivation Technique']",5,1,12,9,22,3.9
Martial King’s Retired Life,"['Wuxia', 'Mature', 'Harem', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Romance']","['Adapted to Manhua', 'Ancient Times', 'Androgynous Characters', 'Appearance Changes', 'Beautiful Female Lead', 'Dishonest Protagonist', 'Famous Protagonist', 'Handsome Male Lead', 'Hiding True Abilities', 'Hiding True Identity', 'Low-key Protagonist', 'Male Protagonist', 'Military', 'Misunderstandings', 'Money Grubber', 'Multiple POV', 'Overpowered Protagonist', 'Past Plays a Big Role', 'Past Trauma', 'Perverted Protagonist', 'Poor Protagonist', 'Protagonist Strong from the Start', 'Quirky Characters', 'Royalty', 'Schemes And Conspiracies', 'Shameless Protagonist', 'Slow Romance', 'Underestimated Protagonist', 'Unreliable Narrator']",54,34,51,49,276,4.0
Rooster X Rooster,"['Comedy', 'Drama', 'Romance', 'Yaoi']","['Adapted to Drama CD', 'Amnesia', 'Fat to Fit', 'First-time Interc**rse', 'Handsome Male Lead', 'Mpreg', 'Non-humanoid Protagonist', 'Omegaverse', 'Quirky Characters', 'Short Story', 'Ugly Protagonist', 'Ugly to Beautiful']",0,1,13,20,99,4.6
My B Boyfriend Became an A,"['Romance', 'Yaoi']","['Doting Love Interests', 'Marriage', 'Omegaverse', 'Wealthy Characters']",4,1,1,2,17,4.1
"Strike Back, Proud Goddess!","['Drama', 'Romance', 'Shoujo']","['Beautiful Female Lead', 'Brotherhood', 'Complex Family Relationships', 'Devoted Love Interests', 'Doting Older Siblings', 'Doting Parents', 'Family', 'Family Conflict', 'Female Protagonist', 'First Love', 'Handsome Male Lead', 'Long Separations', 'Love Interest Falls in Love First', 'Lovers Reunited', 'Misunderstandings', 'Modern Day', 'Poor to Rich', 'Possession', 'Possessive Characters', 'Reincarnation', 'Sister Complex', 'Soldiers', 'System Administrator', 'Transmigration', 'Ugly to Beautiful', 'Unconditional Love']",20,14,9,9,17,2.8
My Lord is A Stone,"['Comedy', 'Historical', 'Josei', 'Romance']","['Female Protagonist', 'Love Interest Falls in Love First', 'Poor Protagonist', 'Royalty', 'Sentient Objects', 'Transmigration']",6,11,15,23,40,3.8
My Cat And I Both Like You,"['Shounen Ai', 'Comedy', 'Romance']","['Celebrities', 'Devoted Love Interests', 'Handsome Male Lead', 'Modern Day', 'Pets', 'Popular Love Interests', 'Proactive Protagonist', 'Showbiz', 'Straight Uke', 'Time Travel']",2,0,5,0,7,3.7
Pregnant Father,"['Adult', 'Harem', 'Mature', 'Smut', 'Yaoi']","['Futanari', 'Incest', 'Mpreg', 'Older Love Interests', 'Organized Crime', 'Parent Complex', 'Pregnancy', 'R*pe Victim Becomes Lover', 'R*pe', 'Seme Protagonist']",10,3,11,5,9,3.0
The False Summoner,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Mecha', 'Romance', 'Shounen', 'Supernatural', 'Xuanhuan']","['Fantasy Creatures', 'Male Protagonist', 'Netori', 'Polygamy', 'Royalty', 'R*pe', 'Sword And Magic', 'Weak to Strong']",7,3,3,3,15,3.5
Villain in the Kindergarten,"['Shounen Ai', 'Comedy', 'Slice of Life']","['Brotherhood', 'Caring Protagonist', 'Childcare', 'Clever Protagonist', 'Cute Children', 'Cute Story', 'Doting Older Siblings', 'Handsome Male Lead', 'Heartwarming', 'Kidnappings', 'Protagonist Strong from the Start', 'Romantic Subplot', 'Wealthy Characters']",3,3,22,19,33,4.0
My Archenemy Suddenly Went OOC,['Yaoi'],"['Cold Protagonist', 'Family Conflict', 'Modern Day', 'Older Love Interests', 'Oneshot', 'Time Paradox', 'Transmigration']",3,1,8,10,6,3.5
Holding You Into My Arms,"['School Life', 'Slice of Life', 'Josei', 'Romance']","['Beautiful Female Lead', 'Early Romance', 'Female Protagonist', 'Handsome Male Lead', 'Modern Day']",2,0,3,1,14,4.3
I Have the Alchemy Emperor in My Head,"['Fantasy', 'Xuanhuan']",[''],1,0,1,0,2,3.5
Warrior in Turbulent Han Dynasty,"['Martial Arts', 'Historical', 'Shounen', 'Fantasy']","['Ancient China', 'Hot-blooded Protagonist', 'Kingdoms', 'Male Protagonist', 'Military', 'Transmigration', 'Wars']",6,1,1,0,6,2.9
Hollywood Secret Garden,"['Shoujo Ai', 'Gender Bender', 'Comedy', 'Fantasy', 'Romance']","['Acting', 'Beautiful Female Lead', 'Celebrities', 'Child Protagonist', 'Cute Story', 'Male to Female', 'Modern Day', 'Reincarnation', 'Showbiz', 'Wealthy Characters']",12,6,11,7,93,4.3
I Woke Up Pregnant With An Undead’s Child,"['Fantasy', 'Mature', 'Mystery', 'Supernatural', 'Yaoi']","['Childcare', 'Cold Love Interests', 'Devoted Love Interests', 'Family', 'Handsome Male Lead', 'Human-Nonhuman Relationship', 'Mpreg', 'R*pe', 'Strong Love Interests', 'Zombies']",18,5,19,15,101,4.1
Spring Once More,"['Comedy', 'Drama', 'Historical', 'Romance', 'Yaoi']","['Adapted to Manhua', 'Royalty', 'Seme Protagonist', 'Straight Seme', 'Transmigration']",8,7,7,6,48,4.0
Super Urban Master,"['School Life', 'Harem', 'Action', 'Martial Arts', 'Slice of Life', 'Romance']","['Abandoned Children', 'Cold Protagonist', 'Cultivation', 'Doctors', 'Hot-blooded Protagonist', 'Love Interest Falls in Love First', 'Male Protagonist', 'Modern Day', 'Overpowered Protagonist', 'Reverse R*pe', 'Ruthless Protagonist']",26,4,7,7,14,2.6
